Animal,Symptom 2,Temperature,Symptom 3,Age,Symptom 1,Disease
sheep,loss of appetite,102.0,depression,9.0,painless lumps,pneumonia
sheep,crackling sound,104.7,depression,8.0,swelling in muscle,blackleg
goat,depression,102.4,painless lumps,10.0,loss of appetite,lumpy virus
sheep,depression,100.3,loss of appetite,6.0,painless lumps,pneumonia
cow,loss of appetite,102.0,depression,12.0,painless lumps,lumpy virus
sheep,painless lumps,101.1,loss of appetite,9.0,depression,pneumonia
goat,swelling in muscle,101.0,loss of appetite,4.0,depression,blackleg
buffalo,sores on tongue,102.0,difficulty walking,8.0,loss of appetite,foot and mouth
goat,depression,101.8,loss of appetite,4.0,painless lumps,lumpy virus
buffalo,loss of appetite,100.2,difficulty walking,15.0,sores on tongue,foot and mouth
sheep,loss of appetite,103.3,depression,3.0,painless lumps,lumpy virus
goat,depression,104.5,loss of appetite,1.0,painless lumps,pneumonia
cow,sweats,104.1,swelling in abdomen,2.0,shortness of breath,anthrax
goat,sweats,104.7,chills,10.0,chest discomfort,anthrax
goat,loss of appetite,102.8,depression,7.0,painless lumps,pneumonia
goat,painless lumps,101.2,depression,5.0,loss of appetite,lumpy virus
buffalo,shortness of breath,103.0,chills,8.0,chest discomfort,anthrax
buffalo,blisters on gums,100.7,lameness,12.0,loss of appetite,foot and mouth
goat,shortness of breath,102.5,sweats,4.0,chest discomfort,anthrax
buffalo,depression,100.1,loss of appetite,5.0,painless lumps,lumpy virus
goat,crackling sound,101.6,swelling in muscle,10.0,loss of appetite,blackleg
goat,painless lumps,100.3,loss of appetite,9.0,depression,lumpy virus
buffalo,loss of appetite,104.5,painless lumps,5.0,depression,pneumonia
cow,loss of appetite,100.7,painless lumps,1.0,depression,pneumonia
buffalo,loss of appetite,104.4,depression,2.0,lameness,blackleg
buffalo,crackling sound,101.8,swelling in limb,3.0,depression,blackleg
sheep,fatigue,103.2,sweats,8.0,swelling in neck,anthrax
sheep,sweats,100.8,fatigue,2.0,swelling in abdomen,anthrax
goat,depression,102.4,painless lumps,6.0,loss of appetite,lumpy virus
buffalo,depression,104.1,loss of appetite,15.0,painless lumps,lumpy virus
goat,painless lumps,100.2,depression,4.0,loss of appetite,lumpy virus
buffalo,depression,104.0,painless lumps,10.0,loss of appetite,lumpy virus
cow,fatigue,100.4,shortness of breath,2.0,sweats,anthrax
goat,painless lumps,101.4,depression,7.0,loss of appetite,pneumonia
goat,loss of appetite,101.1,painless lumps,6.0,depression,pneumonia
buffalo,depression,100.2,swelling in muscle,8.0,crackling sound,blackleg
cow,loss of appetite,101.4,swelling in limb,3.0,difficulty walking,blackleg
sheep,swelling in abdomen,104.7,chills,1.0,chest discomfort,anthrax
cow,loss of appetite,101.3,painless lumps,13.0,depression,pneumonia
buffalo,painless lumps,100.5,loss of appetite,6.0,depression,lumpy virus
buffalo,loss of appetite,102.4,depression,2.0,crackling sound,blackleg
buffalo,loss of appetite,100.6,lameness,5.0,blisters on gums,foot and mouth
sheep,depression,104.4,loss of appetite,2.0,painless lumps,pneumonia
cow,swelling in muscle,100.5,loss of appetite,10.0,crackling sound,blackleg
buffalo,loss of appetite,100.6,lameness,15.0,sores on tongue,foot and mouth
buffalo,blisters on tongue,100.1,loss of appetite,15.0,lameness,foot and mouth
goat,painless lumps,102.3,depression,7.0,loss of appetite,pneumonia
sheep,loss of appetite,102.3,crackling sound,3.0,lameness,blackleg
cow,loss of appetite,103.0,depression,15.0,swelling in muscle,blackleg
cow,depression,104.9,crackling sound,9.0,swelling in muscle,blackleg
buffalo,chills,100.9,sweats,14.0,chest discomfort,anthrax
goat,depression,100.7,loss of appetite,8.0,difficulty walking,blackleg
sheep,loss of appetite,103.7,blisters on mouth,10.0,difficulty walking,foot and mouth
cow,painless lumps,100.6,loss of appetite,15.0,depression,lumpy virus
sheep,painless lumps,100.3,loss of appetite,3.0,depression,pneumonia
goat,swelling in limb,102.4,depression,9.0,loss of appetite,blackleg
cow,loss of appetite,100.8,depression,12.0,painless lumps,pneumonia
sheep,painless lumps,100.2,loss of appetite,5.0,depression,lumpy virus
sheep,lameness,101.4,loss of appetite,4.0,crackling sound,blackleg
goat,loss of appetite,103.7,sores on gums,3.0,lameness,foot and mouth
buffalo,loss of appetite,101.4,painless lumps,13.0,depression,lumpy virus
cow,loss of appetite,102.7,depression,9.0,painless lumps,pneumonia
goat,shortness of breath,100.4,swelling in neck,5.0,fatigue,anthrax
sheep,loss of appetite,104.8,depression,9.0,painless lumps,pneumonia
sheep,lameness,101.5,loss of appetite,5.0,crackling sound,blackleg
sheep,shortness of breath,101.3,chills,3.0,fatigue,anthrax
goat,difficulty walking,102.1,depression,1.0,swelling in limb,blackleg
cow,depression,101.5,painless lumps,12.0,loss of appetite,pneumonia
cow,lameness,100.3,swelling in muscle,11.0,depression,blackleg
cow,crackling sound,104.8,lameness,2.0,loss of appetite,blackleg
cow,chest discomfort,101.0,shortness of breath,15.0,swelling in abdomen,anthrax
cow,loss of appetite,100.5,sores on mouth,6.0,lameness,foot and mouth
goat,swelling in extremities,102.2,chest discomfort,6.0,shortness of breath,anthrax
cow,difficulty walking,101.4,crackling sound,15.0,depression,blackleg
cow,loss of appetite,101.7,difficulty walking,3.0,sores on hooves,foot and mouth
sheep,swelling in limb,102.2,loss of appetite,3.0,crackling sound,blackleg
buffalo,chest discomfort,102.6,fatigue,6.0,sweats,anthrax
cow,depression,104.4,loss of appetite,11.0,painless lumps,lumpy virus
cow,depression,102.8,loss of appetite,12.0,painless lumps,pneumonia
goat,loss of appetite,102.2,lameness,3.0,sores on tongue,foot and mouth
sheep,depression,102.7,painless lumps,4.0,loss of appetite,lumpy virus
cow,loss of appetite,102.8,painless lumps,14.0,depression,pneumonia
buffalo,fatigue,101.2,chills,3.0,chest discomfort,anthrax
goat,depression,103.1,loss of appetite,3.0,painless lumps,pneumonia
buffalo,swelling in extremities,102.3,shortness of breath,6.0,sweats,anthrax
cow,chest discomfort,103.8,shortness of breath,7.0,swelling in extremities,anthrax
buffalo,difficulty walking,101.8,loss of appetite,15.0,sores on tongue,foot and mouth
cow,loss of appetite,102.8,painless lumps,7.0,depression,pneumonia
cow,painless lumps,104.5,depression,12.0,loss of appetite,pneumonia
goat,chills,101.7,sweats,6.0,chest discomfort,anthrax
sheep,chest discomfort,103.0,fatigue,2.0,shortness of breath,anthrax
buffalo,depression,100.6,crackling sound,11.0,loss of appetite,blackleg
buffalo,painless lumps,104.2,depression,13.0,loss of appetite,pneumonia
buffalo,difficulty walking,102.6,blisters on tongue,7.0,loss of appetite,foot and mouth
sheep,sweats,102.3,chest discomfort,5.0,swelling in extremities,anthrax
buffalo,loss of appetite,100.4,painless lumps,11.0,depression,pneumonia
sheep,depression,100.8,painless lumps,8.0,loss of appetite,lumpy virus
buffalo,sweats,100.6,swelling in neck,6.0,chest discomfort,anthrax
cow,loss of appetite,104.6,lameness,10.0,crackling sound,blackleg
goat,crackling sound,100.9,depression,3.0,swelling in muscle,blackleg
sheep,blisters on gums,103.0,loss of appetite,6.0,lameness,foot and mouth
sheep,loss of appetite,105.0,painless lumps,1.0,depression,lumpy virus
buffalo,difficulty walking,102.0,loss of appetite,7.0,blisters on gums,foot and mouth
goat,loss of appetite,101.0,difficulty walking,6.0,sores on hooves,foot and mouth
cow,depression,100.2,loss of appetite,3.0,difficulty walking,blackleg
goat,depression,102.7,painless lumps,9.0,loss of appetite,lumpy virus
goat,swelling in muscle,101.4,loss of appetite,5.0,lameness,blackleg
buffalo,depression,101.2,painless lumps,1.0,loss of appetite,lumpy virus
goat,blisters on mouth,100.0,difficulty walking,3.0,loss of appetite,foot and mouth
goat,difficulty walking,103.1,crackling sound,1.0,swelling in muscle,blackleg
cow,depression,103.8,painless lumps,8.0,loss of appetite,pneumonia
buffalo,swelling in muscle,103.5,lameness,2.0,loss of appetite,blackleg
cow,swelling in muscle,102.9,depression,15.0,loss of appetite,blackleg
buffalo,blisters on hooves,104.9,loss of appetite,3.0,difficulty walking,foot and mouth
goat,blisters on mouth,102.4,loss of appetite,5.0,lameness,foot and mouth
goat,depression,102.3,painless lumps,7.0,loss of appetite,pneumonia
buffalo,depression,102.9,loss of appetite,15.0,painless lumps,lumpy virus
goat,depression,102.0,loss of appetite,4.0,painless lumps,pneumonia
sheep,lameness,101.2,depression,7.0,swelling in muscle,blackleg
cow,difficulty walking,102.5,loss of appetite,5.0,blisters on hooves,foot and mouth
buffalo,sweats,101.1,fatigue,4.0,shortness of breath,anthrax
goat,depression,104.2,swelling in limb,8.0,loss of appetite,blackleg
buffalo,difficulty walking,100.9,crackling sound,6.0,loss of appetite,blackleg
goat,painless lumps,102.6,depression,10.0,loss of appetite,pneumonia
cow,painless lumps,102.2,depression,14.0,loss of appetite,lumpy virus
buffalo,sores on gums,100.2,difficulty walking,5.0,loss of appetite,foot and mouth
goat,difficulty walking,103.5,depression,5.0,loss of appetite,blackleg
buffalo,lameness,101.0,blisters on gums,13.0,loss of appetite,foot and mouth
buffalo,depression,104.4,loss of appetite,14.0,swelling in muscle,blackleg
goat,shortness of breath,100.6,fatigue,5.0,swelling in abdomen,anthrax
cow,swelling in limb,100.0,difficulty walking,1.0,depression,blackleg
sheep,loss of appetite,100.2,painless lumps,3.0,depression,pneumonia
cow,painless lumps,104.7,loss of appetite,4.0,depression,lumpy virus
buffalo,sweats,101.9,shortness of breath,8.0,fatigue,anthrax
cow,chills,102.6,shortness of breath,6.0,swelling in neck,anthrax
cow,depression,102.7,loss of appetite,3.0,painless lumps,lumpy virus
cow,loss of appetite,104.1,blisters on hooves,3.0,lameness,foot and mouth
sheep,swelling in abdomen,103.3,chest discomfort,3.0,chills,anthrax
buffalo,crackling sound,102.6,swelling in muscle,4.0,loss of appetite,blackleg
buffalo,chills,101.1,fatigue,8.0,shortness of breath,anthrax
buffalo,chills,102.6,fatigue,11.0,swelling in abdomen,anthrax
goat,swelling in neck,101.1,chest discomfort,3.0,shortness of breath,anthrax
cow,blisters on mouth,102.4,lameness,12.0,loss of appetite,foot and mouth
goat,chest discomfort,102.2,chills,4.0,sweats,anthrax
buffalo,depression,101.8,painless lumps,5.0,loss of appetite,lumpy virus
sheep,painless lumps,101.1,loss of appetite,6.0,depression,pneumonia
goat,loss of appetite,104.6,depression,1.0,painless lumps,lumpy virus
cow,chills,101.7,shortness of breath,5.0,sweats,anthrax
goat,loss of appetite,104.5,difficulty walking,6.0,sores on gums,foot and mouth
buffalo,loss of appetite,104.4,lameness,5.0,blisters on hooves,foot and mouth
buffalo,depression,101.3,loss of appetite,7.0,painless lumps,pneumonia
buffalo,depression,100.9,painless lumps,2.0,loss of appetite,lumpy virus
goat,depression,101.9,crackling sound,7.0,swelling in limb,blackleg
goat,depression,103.5,loss of appetite,3.0,painless lumps,pneumonia
buffalo,swelling in muscle,100.7,depression,3.0,crackling sound,blackleg
cow,chest discomfort,101.2,swelling in neck,12.0,shortness of breath,anthrax
goat,blisters on tongue,101.0,loss of appetite,5.0,difficulty walking,foot and mouth
sheep,lameness,101.4,loss of appetite,9.0,sores on tongue,foot and mouth
cow,shortness of breath,101.3,fatigue,11.0,swelling in abdomen,anthrax
goat,loss of appetite,102.7,difficulty walking,1.0,blisters on hooves,foot and mouth
cow,blisters on tongue,101.0,difficulty walking,7.0,loss of appetite,foot and mouth
goat,loss of appetite,101.5,difficulty walking,10.0,swelling in limb,blackleg
buffalo,loss of appetite,101.0,crackling sound,1.0,depression,blackleg
goat,depression,101.8,painless lumps,2.0,loss of appetite,lumpy virus
sheep,painless lumps,104.6,depression,4.0,loss of appetite,lumpy virus
sheep,lameness,104.9,crackling sound,8.0,depression,blackleg
goat,chest discomfort,102.3,fatigue,2.0,chills,anthrax
cow,loss of appetite,100.4,painless lumps,12.0,depression,pneumonia
cow,loss of appetite,104.2,depression,4.0,painless lumps,pneumonia
sheep,loss of appetite,100.5,painless lumps,5.0,depression,lumpy virus
cow,shortness of breath,102.7,sweats,12.0,chills,anthrax
sheep,painless lumps,102.2,loss of appetite,9.0,depression,pneumonia
sheep,difficulty walking,104.9,blisters on tongue,3.0,loss of appetite,foot and mouth
buffalo,difficulty walking,101.9,loss of appetite,3.0,blisters on hooves,foot and mouth
goat,lameness,102.3,crackling sound,3.0,depression,blackleg
cow,shortness of breath,103.4,fatigue,8.0,sweats,anthrax
sheep,swelling in limb,100.2,depression,7.0,loss of appetite,blackleg
sheep,depression,104.2,loss of appetite,8.0,painless lumps,lumpy virus
cow,painless lumps,102.6,depression,15.0,loss of appetite,lumpy virus
buffalo,loss of appetite,101.8,painless lumps,14.0,depression,pneumonia
sheep,loss of appetite,102.0,painless lumps,8.0,depression,pneumonia
cow,depression,104.2,painless lumps,13.0,loss of appetite,lumpy virus
goat,painless lumps,100.4,depression,8.0,loss of appetite,lumpy virus
goat,painless lumps,100.8,loss of appetite,8.0,depression,lumpy virus
buffalo,depression,103.3,loss of appetite,9.0,painless lumps,pneumonia
buffalo,loss of appetite,101.0,difficulty walking,8.0,swelling in limb,blackleg
sheep,chest discomfort,103.0,sweats,5.0,shortness of breath,anthrax
cow,loss of appetite,101.7,depression,10.0,crackling sound,blackleg
goat,sweats,103.2,chills,6.0,fatigue,anthrax
sheep,sores on gums,101.0,difficulty walking,8.0,loss of appetite,foot and mouth
sheep,swelling in limb,100.5,difficulty walking,7.0,crackling sound,blackleg
goat,chest discomfort,101.8,fatigue,9.0,chills,anthrax
goat,depression,102.1,painless lumps,2.0,loss of appetite,pneumonia
sheep,painless lumps,104.3,depression,10.0,loss of appetite,pneumonia
goat,sweats,104.9,shortness of breath,2.0,fatigue,anthrax
sheep,depression,103.5,loss of appetite,4.0,painless lumps,pneumonia
buffalo,chills,100.1,swelling in abdomen,9.0,shortness of breath,anthrax
goat,loss of appetite,101.6,difficulty walking,10.0,crackling sound,blackleg
sheep,blisters on tongue,100.8,lameness,7.0,loss of appetite,foot and mouth
buffalo,loss of appetite,102.0,depression,3.0,painless lumps,pneumonia
sheep,difficulty walking,101.7,blisters on tongue,8.0,loss of appetite,foot and mouth
cow,painless lumps,103.1,depression,4.0,loss of appetite,pneumonia
sheep,depression,104.1,lameness,5.0,crackling sound,blackleg
sheep,chest discomfort,104.6,fatigue,3.0,shortness of breath,anthrax
sheep,chills,102.9,fatigue,6.0,swelling in neck,anthrax
sheep,difficulty walking,102.6,loss of appetite,3.0,sores on gums,foot and mouth
sheep,loss of appetite,102.0,crackling sound,2.0,swelling in muscle,blackleg
buffalo,swelling in extremities,103.1,chills,6.0,shortness of breath,anthrax
buffalo,swelling in extremities,101.0,chills,5.0,chest discomfort,anthrax
sheep,painless lumps,102.2,depression,7.0,loss of appetite,lumpy virus
cow,sweats,102.0,chills,4.0,fatigue,anthrax
cow,painless lumps,100.3,loss of appetite,6.0,depression,lumpy virus
sheep,swelling in neck,104.1,chills,8.0,shortness of breath,anthrax
buffalo,loss of appetite,104.6,sores on tongue,8.0,difficulty walking,foot and mouth
buffalo,loss of appetite,104.3,painless lumps,3.0,depression,lumpy virus
goat,painless lumps,102.1,loss of appetite,8.0,depression,pneumonia
goat,blisters on tongue,101.7,lameness,10.0,loss of appetite,foot and mouth
buffalo,fatigue,102.9,sweats,14.0,shortness of breath,anthrax
goat,chills,103.2,swelling in neck,5.0,chest discomfort,anthrax
buffalo,crackling sound,103.0,difficulty walking,4.0,depression,blackleg
cow,painless lumps,103.0,depression,2.0,loss of appetite,pneumonia
cow,loss of appetite,104.2,sores on tongue,13.0,difficulty walking,foot and mouth
cow,crackling sound,102.3,loss of appetite,13.0,swelling in muscle,blackleg
cow,swelling in neck,103.8,sweats,1.0,chest discomfort,anthrax
sheep,difficulty walking,102.0,sores on mouth,3.0,loss of appetite,foot and mouth
goat,painless lumps,100.8,loss of appetite,2.0,depression,pneumonia
sheep,depression,104.2,loss of appetite,7.0,painless lumps,lumpy virus
cow,crackling sound,104.8,lameness,10.0,loss of appetite,blackleg
buffalo,blisters on hooves,103.6,lameness,4.0,loss of appetite,foot and mouth
buffalo,depression,101.7,loss of appetite,3.0,painless lumps,lumpy virus
sheep,shortness of breath,101.4,chills,7.0,chest discomfort,anthrax
sheep,chills,100.5,chest discomfort,9.0,shortness of breath,anthrax
goat,loss of appetite,101.1,painless lumps,3.0,depression,lumpy virus
cow,sweats,101.8,chills,9.0,chest discomfort,anthrax
buffalo,depression,100.9,crackling sound,3.0,difficulty walking,blackleg
buffalo,loss of appetite,100.8,painless lumps,11.0,depression,pneumonia
sheep,sores on mouth,100.9,loss of appetite,10.0,lameness,foot and mouth
cow,painless lumps,100.5,depression,8.0,loss of appetite,pneumonia
buffalo,chills,102.8,swelling in extremities,5.0,fatigue,anthrax
sheep,painless lumps,100.3,loss of appetite,2.0,depression,lumpy virus
cow,depression,104.4,painless lumps,1.0,loss of appetite,pneumonia
goat,loss of appetite,103.5,painless lumps,1.0,depression,pneumonia
cow,sweats,104.1,fatigue,8.0,chills,anthrax
cow,swelling in limb,100.5,loss of appetite,15.0,difficulty walking,blackleg
cow,fatigue,102.3,shortness of breath,6.0,chest discomfort,anthrax
cow,painless lumps,100.5,depression,6.0,loss of appetite,pneumonia
sheep,swelling in limb,104.2,lameness,2.0,depression,blackleg
buffalo,chills,103.1,fatigue,5.0,swelling in neck,anthrax
sheep,loss of appetite,102.3,depression,8.0,painless lumps,pneumonia
goat,swelling in limb,100.5,difficulty walking,8.0,loss of appetite,blackleg
goat,chest discomfort,102.7,shortness of breath,6.0,fatigue,anthrax
goat,lameness,102.5,swelling in muscle,4.0,depression,blackleg
goat,depression,103.0,loss of appetite,1.0,crackling sound,blackleg
cow,depression,101.4,loss of appetite,11.0,painless lumps,pneumonia
cow,loss of appetite,101.7,painless lumps,15.0,depression,lumpy virus
sheep,fatigue,100.3,swelling in extremities,5.0,chest discomfort,anthrax
goat,loss of appetite,100.4,lameness,3.0,sores on gums,foot and mouth
buffalo,chest discomfort,103.3,chills,12.0,fatigue,anthrax
sheep,loss of appetite,104.7,sores on mouth,6.0,difficulty walking,foot and mouth
sheep,painless lumps,102.2,depression,8.0,loss of appetite,pneumonia
cow,fatigue,104.2,swelling in neck,10.0,shortness of breath,anthrax
cow,depression,101.2,loss of appetite,2.0,painless lumps,pneumonia
sheep,fatigue,101.8,chills,7.0,shortness of breath,anthrax
sheep,swelling in limb,103.9,difficulty walking,9.0,loss of appetite,blackleg
buffalo,chest discomfort,104.9,swelling in neck,13.0,fatigue,anthrax
cow,painless lumps,104.7,loss of appetite,14.0,depression,pneumonia
buffalo,loss of appetite,100.1,painless lumps,13.0,depression,pneumonia
goat,sores on gums,100.4,loss of appetite,6.0,lameness,foot and mouth
buffalo,painless lumps,101.4,loss of appetite,12.0,depression,pneumonia
cow,difficulty walking,104.8,loss of appetite,8.0,sores on tongue,foot and mouth
cow,swelling in extremities,101.5,fatigue,10.0,chills,anthrax
buffalo,loss of appetite,104.9,swelling in muscle,3.0,crackling sound,blackleg
goat,painless lumps,101.3,loss of appetite,2.0,depression,pneumonia
buffalo,sweats,102.0,fatigue,15.0,swelling in abdomen,anthrax
cow,loss of appetite,102.0,blisters on hooves,1.0,difficulty walking,foot and mouth
cow,depression,103.1,loss of appetite,3.0,swelling in muscle,blackleg
goat,depression,103.5,loss of appetite,6.0,painless lumps,lumpy virus
goat,depression,104.3,loss of appetite,9.0,painless lumps,pneumonia
cow,loss of appetite,102.5,blisters on hooves,11.0,lameness,foot and mouth
buffalo,loss of appetite,104.2,depression,6.0,painless lumps,pneumonia
buffalo,sweats,100.2,chills,7.0,fatigue,anthrax
buffalo,depression,100.8,loss of appetite,4.0,swelling in limb,blackleg
sheep,difficulty walking,103.9,sores on hooves,5.0,loss of appetite,foot and mouth
goat,sores on mouth,103.1,loss of appetite,4.0,lameness,foot and mouth
buffalo,fatigue,102.4,sweats,1.0,chest discomfort,anthrax
buffalo,crackling sound,100.9,depression,9.0,lameness,blackleg
buffalo,painless lumps,103.7,depression,2.0,loss of appetite,lumpy virus
cow,depression,101.9,loss of appetite,4.0,painless lumps,lumpy virus
cow,loss of appetite,102.9,painless lumps,13.0,depression,pneumonia
sheep,shortness of breath,103.7,swelling in extremities,7.0,fatigue,anthrax
goat,painless lumps,105.0,loss of appetite,5.0,depression,lumpy virus
buffalo,depression,102.1,painless lumps,14.0,loss of appetite,pneumonia
goat,lameness,103.6,loss of appetite,4.0,sores on mouth,foot and mouth
goat,loss of appetite,102.4,depression,6.0,painless lumps,pneumonia
goat,lameness,102.3,swelling in muscle,3.0,loss of appetite,blackleg
buffalo,lameness,100.1,loss of appetite,7.0,sores on hooves,foot and mouth
goat,depression,101.7,painless lumps,6.0,loss of appetite,pneumonia
buffalo,chills,100.6,shortness of breath,13.0,chest discomfort,anthrax
buffalo,loss of appetite,101.4,depression,9.0,painless lumps,lumpy virus
goat,fatigue,102.7,swelling in abdomen,5.0,sweats,anthrax
goat,blisters on mouth,102.3,loss of appetite,3.0,difficulty walking,foot and mouth
buffalo,painless lumps,102.2,loss of appetite,3.0,depression,pneumonia
goat,painless lumps,101.6,depression,7.0,loss of appetite,pneumonia
sheep,depression,100.9,crackling sound,4.0,swelling in muscle,blackleg
sheep,blisters on mouth,103.5,lameness,7.0,loss of appetite,foot and mouth
sheep,chest discomfort,101.2,sweats,8.0,swelling in neck,anthrax
buffalo,loss of appetite,101.8,sores on tongue,10.0,lameness,foot and mouth
buffalo,painless lumps,101.5,depression,9.0,loss of appetite,lumpy virus
cow,shortness of breath,101.7,sweats,8.0,swelling in abdomen,anthrax
buffalo,loss of appetite,104.1,blisters on gums,8.0,lameness,foot and mouth
sheep,lameness,101.3,loss of appetite,5.0,sores on mouth,foot and mouth
goat,difficulty walking,101.8,sores on hooves,10.0,loss of appetite,foot and mouth
cow,shortness of breath,102.2,chest discomfort,9.0,fatigue,anthrax
sheep,loss of appetite,104.1,depression,6.0,painless lumps,pneumonia
goat,loss of appetite,101.6,swelling in limb,7.0,crackling sound,blackleg
cow,chest discomfort,101.7,shortness of breath,9.0,sweats,anthrax
cow,depression,100.4,swelling in limb,6.0,crackling sound,blackleg
goat,depression,102.0,difficulty walking,9.0,loss of appetite,blackleg
cow,swelling in extremities,102.4,shortness of breath,11.0,chest discomfort,anthrax
cow,depression,103.8,swelling in limb,14.0,crackling sound,blackleg
goat,depression,103.5,crackling sound,9.0,difficulty walking,blackleg
cow,shortness of breath,102.5,chest discomfort,5.0,fatigue,anthrax
goat,painless lumps,101.2,loss of appetite,5.0,depression,pneumonia
cow,loss of appetite,100.0,depression,7.0,painless lumps,pneumonia
buffalo,chest discomfort,104.2,fatigue,4.0,shortness of breath,anthrax
cow,depression,102.0,painless lumps,5.0,loss of appetite,pneumonia
cow,loss of appetite,101.6,depression,8.0,painless lumps,pneumonia
goat,swelling in limb,100.6,difficulty walking,5.0,depression,blackleg
cow,painless lumps,100.1,depression,8.0,loss of appetite,lumpy virus
buffalo,lameness,102.1,depression,10.0,loss of appetite,blackleg
buffalo,loss of appetite,104.4,depression,1.0,painless lumps,lumpy virus
sheep,depression,101.9,loss of appetite,1.0,painless lumps,pneumonia
sheep,depression,101.4,painless lumps,1.0,loss of appetite,lumpy virus
sheep,loss of appetite,100.3,painless lumps,6.0,depression,pneumonia
buffalo,painless lumps,105.0,loss of appetite,11.0,depression,lumpy virus
cow,loss of appetite,100.6,painless lumps,4.0,depression,pneumonia
goat,loss of appetite,102.6,crackling sound,5.0,swelling in limb,blackleg
sheep,loss of appetite,100.3,depression,7.0,painless lumps,lumpy virus
goat,painless lumps,101.8,depression,2.0,loss of appetite,lumpy virus
sheep,chest discomfort,100.4,sweats,2.0,fatigue,anthrax
buffalo,depression,104.3,loss of appetite,11.0,painless lumps,lumpy virus
cow,lameness,104.7,blisters on tongue,10.0,loss of appetite,foot and mouth
cow,loss of appetite,102.8,depression,5.0,swelling in limb,blackleg
cow,lameness,102.3,loss of appetite,8.0,sores on mouth,foot and mouth
cow,depression,104.3,painless lumps,7.0,loss of appetite,lumpy virus
sheep,difficulty walking,102.6,sores on tongue,2.0,loss of appetite,foot and mouth
sheep,sores on tongue,101.8,loss of appetite,5.0,difficulty walking,foot and mouth
cow,painless lumps,104.0,depression,3.0,loss of appetite,lumpy virus
goat,swelling in muscle,101.1,difficulty walking,7.0,crackling sound,blackleg
goat,loss of appetite,101.1,depression,5.0,painless lumps,pneumonia
sheep,lameness,100.0,depression,4.0,swelling in limb,blackleg
sheep,shortness of breath,103.2,sweats,7.0,chest discomfort,anthrax
goat,chills,101.0,chest discomfort,2.0,fatigue,anthrax
buffalo,depression,100.1,painless lumps,13.0,loss of appetite,lumpy virus
cow,crackling sound,103.3,lameness,15.0,loss of appetite,blackleg
cow,sores on tongue,102.9,loss of appetite,2.0,lameness,foot and mouth
goat,depression,104.4,crackling sound,9.0,loss of appetite,blackleg
buffalo,loss of appetite,102.1,painless lumps,9.0,depression,pneumonia
cow,lameness,104.4,blisters on mouth,1.0,loss of appetite,foot and mouth
goat,loss of appetite,100.7,depression,4.0,painless lumps,pneumonia
goat,depression,102.0,loss of appetite,1.0,painless lumps,pneumonia
cow,loss of appetite,101.6,depression,11.0,painless lumps,lumpy virus
cow,lameness,102.5,loss of appetite,13.0,sores on mouth,foot and mouth
buffalo,painless lumps,100.2,depression,6.0,loss of appetite,pneumonia
sheep,depression,101.2,loss of appetite,1.0,painless lumps,lumpy virus
cow,swelling in muscle,101.7,crackling sound,15.0,lameness,blackleg
buffalo,blisters on mouth,103.5,lameness,8.0,loss of appetite,foot and mouth
buffalo,loss of appetite,103.5,depression,6.0,painless lumps,pneumonia
cow,swelling in limb,102.4,crackling sound,9.0,loss of appetite,blackleg
cow,sores on tongue,100.1,difficulty walking,11.0,loss of appetite,foot and mouth
cow,swelling in limb,104.1,difficulty walking,15.0,crackling sound,blackleg
goat,swelling in extremities,100.7,shortness of breath,4.0,fatigue,anthrax
sheep,crackling sound,101.8,depression,9.0,swelling in limb,blackleg
goat,loss of appetite,100.6,painless lumps,6.0,depression,lumpy virus
goat,blisters on mouth,104.6,loss of appetite,7.0,difficulty walking,foot and mouth
cow,loss of appetite,103.8,lameness,14.0,blisters on gums,foot and mouth
goat,sores on hooves,103.0,loss of appetite,3.0,lameness,foot and mouth
sheep,loss of appetite,102.0,swelling in muscle,5.0,depression,blackleg
buffalo,loss of appetite,102.2,painless lumps,6.0,depression,lumpy virus
cow,depression,101.4,loss of appetite,10.0,painless lumps,lumpy virus
sheep,painless lumps,102.8,depression,4.0,loss of appetite,pneumonia
goat,painless lumps,102.1,depression,5.0,loss of appetite,lumpy virus
goat,chest discomfort,100.4,sweats,3.0,fatigue,anthrax
sheep,blisters on hooves,101.4,difficulty walking,4.0,loss of appetite,foot and mouth
sheep,depression,101.3,painless lumps,8.0,loss of appetite,lumpy virus
buffalo,loss of appetite,100.9,painless lumps,8.0,depression,pneumonia
goat,shortness of breath,104.2,sweats,6.0,swelling in abdomen,anthrax
sheep,sores on tongue,104.7,lameness,5.0,loss of appetite,foot and mouth
sheep,sweats,101.9,chills,2.0,fatigue,anthrax
cow,loss of appetite,101.0,painless lumps,10.0,depression,lumpy virus
cow,loss of appetite,102.7,depression,10.0,crackling sound,blackleg
goat,sweats,101.0,fatigue,4.0,chest discomfort,anthrax
buffalo,loss of appetite,102.8,lameness,14.0,sores on gums,foot and mouth
buffalo,difficulty walking,100.6,loss of appetite,11.0,sores on mouth,foot and mouth
goat,chest discomfort,104.1,chills,2.0,swelling in neck,anthrax
cow,painless lumps,100.5,depression,8.0,loss of appetite,lumpy virus
buffalo,sores on tongue,102.6,loss of appetite,6.0,lameness,foot and mouth
goat,swelling in limb,104.6,depression,7.0,loss of appetite,blackleg
goat,sores on mouth,101.2,difficulty walking,5.0,loss of appetite,foot and mouth
